Id,latin,Latitude,Longitude,lines,district,Closeness Centrality,Betweenness Centrality
江月路,Jiangyue Road,31.0861,121.504,Line8,Minhang,17.5625,476.0
联航路,Lianhang Road,31.0756,121.506,Line8,Minhang,18.55,239.0
富锦路,Fujin Road,31.393889,121.420278,Line1,Baoshan,21.3,0.0
人民广场,People's Square,31.235833,121.468889,Line1-Line2-Line8,Huangpu,9.025,7898.3468474508
南京西路,West Nanjing Road,31.2311,121.456,Line2,Jing'an,9.2125,3424.9843973278194
李子园,Liziyuan,31.270556,121.385556,Line11,Putuo,13.641666666666667,2951.0
祁连山路,Qilianshan Road,31.273333,121.369722,Line11,Putuo,14.5375,2736.0
东川路,Dongchuan Road,31.02,121.415,Line5,Minhang,21.783333333333335,944.0
肇嘉浜路,Zhaojiabang Road,31.2014,121.445,Line7-Line9,Xuhui,9.766666666666667,3896.5908408842597
上海马戏城,Shanghai Circus World,31.2808,121.448,Line1,Zhabei,12.6375,2079.0
汶水路,Wenshui Road,31.2944,121.446,Line1,Zhabei,13.566666666666666,1856.0
七宝,Qibao,31.1569,121.343,Line9,Minhang,15.266666666666667,1631.0
龙柏新村,Longbai Xincun,31.178611,121.365556,Line10b,Minhang,15.041666666666666,476.0
创新中路,Middle Chuangxin Road,31.2156,121.669,Line2,Pudong,17.645833333333332,127.0
合川路,Hechuan Road,31.1686,121.379,Line9,Minhang,13.4,2079.0
星中路,Xingzhong Road,31.1603,121.364,Line9,Minhang,14.329166666666667,1856.0
上海南站,Shanghai South Railway Station,31.1553,121.426,Line1-Line3,Xuhui,12.533333333333333,3255.9491742175965
浦东国际机场,Pudong International Airport,31.1539,121.801,Line2-Maglev,Pudong,13.829166666666667,1043.0
嘉定西,West Jiading,31.378889,121.223056,Line11,Jiading,21.108333333333334,239.0
浦江镇,Pujiang Town,31.0983,121.502,Line8,Minhang,16.583333333333332,711.0
上海科技馆,Shanghai Science & Technology Museum,31.2217,121.539,Line2,Pudong,11.370833333333334,2926.5547619047607
友谊路,Youyi Road,31.4064,121.471,Line3,Baoshan,21.345833333333335,476.0
黄兴路,Huangxing Road,31.2811,121.524,Line8,Yangpu,14.566666666666666,1175.0
唐镇,Tangzhen,31.2161,121.652,Line2,Pudong,16.691666666666666,356.0
广兰路,Guanglan Road,31.2131,121.619,Line2,Pudong,15.7375,585.0
漕溪路,Caoxi Road,31.1786,121.433,Line3,Xuhui,11.579166666666667,354.05082578240484
马陆,Malu,31.321667,121.2725,Line11,Jiading,18.204166666666666,1856.0
松江新城,Songjiang Xincheng,31.032778,121.226111,Line9,Songjiang,22.0625,0.0
德平路,Deping Road,31.2475,121.559,Line6,Pudong,14.05,2736.0
宝山路,Baoshan Road,31.2533,121.471,Line3-Line4,Zhabei,10.191666666666666,3505.2815824526356
武威路,Wuwei Road,31.277778,121.36,Line11,Putuo,15.441666666666666,2519.0
南陈路,Nanchen Road,31.32333,121.39306,Line7,Baoshan,17.470833333333335,1404.0
延长路,Yanchang Road,31.2731,121.451,Line1,Zhabei,11.716666666666667,2300.0
凌空路,Lingkong Road,31.1944,121.719,Line2,Pudong,16.691666666666666,356.0
延吉中路,Middle Yanji Road,31.2897,121.531,Line8,Yangpu,15.529166666666667,944.0
洲海路,Zhouhai Road,31.3144,121.585,Line6,Pudong,21.516666666666666,944.0
徐泾东,East Xujing,31.190556,121.295278,Line2,Qingpu,16.558333333333334,0.0
五角场,Wujiaochang,31.300278,121.510556,Line10,Yangpu,14.591666666666667,944.0
锦江乐园,Jinjiang Park,31.1439,121.409,Line1,Xuhui,13.420833333333333,2951.0
中兴路,Zhongxing Road,31.2553,121.464,Line8,Zhabei,10.429166666666667,2422.385007974484
西藏北路,North Xizang Road,31.2675,121.467,Line8,Zhabei,10.7875,2320.8850079744843
延安西路,West Yan'an Road,31.2114,121.412,Line3-Line4,Changning,10.470833333333333,2193.225521846574
后滩,Houtan,31.1742,121.469,Line7,Pudong,11.245833333333334,929.5880952380955
莲花路,Lianhua Road,31.1325,121.398,Line1,Minhang,14.316666666666666,2736.0
嘉定北,North Jiading,31.393333,121.2325,Line11,Jiading,22.104166666666668,0.0
上海动物园,Shanghai Zoo,31.192222,121.363056,Line10,Changning,14.991666666666667,185.0
临平路,Linping Road,31.2669,121.495,Line4,Hongkou,10.791666666666666,1991.4930402930388
大连路,Dalian Road,31.2606,121.508,Line4,Yangpu,11.1625,1901.483333333333
昌平路,Changping Road,31.236389,121.437222,Line7,Jing'an,9.875,1303.1742424242427
龙溪路,Longxi Road,31.195833,121.375,Line10-Line10b,Changning,14.0625,1060.1666666666665
曲阜路,Qufu Road,31.2447,121.467,Line8,Zhabei,9.7375,2576.8850079744834
芳华路,Fanghua Road,31.195556,121.545833,Line7,Pudong,13.404166666666667,582.0083333333338
东宝兴路,Dongbaoxing Road,31.2614,121.476,Line3,Hongkou,10.970833333333333,1312.9999999999995
东靖路,Dongjing Road,31.2928,121.584,Line6,Pudong,19.6,1404.0
五洲大道,Wuzhou Avenue,31.3047,121.585,Line6,Pudong,20.554166666666667,1175.0
锦绣路,Jinxiu Road,31.1897,121.5347,Line7,Pudong,13.6625,559.3702380952384
新闸路,Xinzha Road,31.2406,121.463,Line1,Huangpu,9.595833333333333,1628.681818181819
佘山,Sheshan,31.1131,121.224,Line9,Songjiang,19.1,711.0
淞滨路,Songbin Road,31.3728,121.488,Line3,Baoshan,18.433333333333334,1175.0
上海赛车场,Shanghai Circuit,31.333611,121.221389,Line11b,Jiading,20.1125,711.0
航天博物馆,Aerospace Museum,31.0636,121.507,Line8,Minhang,19.545833333333334,0.0
